area_position,region,province,istat,district,year,mounth,interruption_duration,interruption_duration_range,interruption_number,interruption_number_range,dur_number,client_number,altitude,altitude_range,coastal_region,mountain_region,urbanization,opex,opex_generated,capex,capex_generated,sales,ebitda,population_number,coordX,coordY,start_x,start_y
Nord,Triveneto,Padova,28001,ABANOTERME,2017,12,462059.8273,0,38037.54303,1,0-1,9649,14,5,0,NM,2,#N/A,1253.335989,#N/A,4878.61901,#N/A,#N/A,19349,718838,5026824,0,0
Nord,Lombardia,Lodi-Cremona,98001,ABBADIACERRETO,2017,12,395.1182759,0,138.9976664,0,0-0,130,64,5,0,NM,3,#N/A,58.8855399,#N/A,2272.416992,#N/A,#N/A,297,546435,5018083,0,0
Nord,Lombardia,Como-Lecco,97001,ABBADIALARIANA,2017,12,38858.17933,0,2749.881718,0,0-0,2043,204,1,0,T,2,#N/A,137.7243216,#N/A,3064.95962,#N/A,#N/A,3249,527844,5082938,0,0
Centro,Toscana e Umbria,Siena-Grosseto,52001,ABBADIASANSALVATOR,2017,12,33262.8403,0,12302.48149,0,0-0,4090,822,1,0,T,2,#N/A,2199.046175,#N/A,7036.535371,#N/A,#N/A,6557,719243,4751622,0,0
Centro,Sardegna,Nuoro-Oristano,95001,ABBASANTA,2017,12,91158.17644,0,9352.939132,0,0-0,1514,315,3,0,T,3,#N/A,624.2949903,#N/A,4386.024901,#N/A,#N/A,2828,480495,4443530,0,0
Centro,Lazio. Abruzzo e Molise,Pescara-Chieti,68001,ABBATEGGIO,2017,12,120857.8497,0,3048.890053,0,0-0,280,450,3,0,T,3,#N/A,1246.324881,#N/A,4790.306475,#N/A,#N/A,441,914737,4684851,0,0
Nord,Lombardia,Milano,15002,ABBIATEGRASSO,2017,12,270417.1187,0,27196.76456,1,0-1,14173,120,5,0,NM,2,#N/A,2858.759643,#N/A,7038.588577,#N/A,#N/A,30994,491878,5025577,0,0
Centro,Toscana e Umbria,Pistoia-Prato,47001,ABETONE,2017,12,63284.24733,0,3018.59569,0,0-0,2590,1388,1,0,T,3,#N/A,3395.769399,#N/A,16264.23606,#N/A,#N/A,687,633474,4888269,0,0
Sud,Puglia e Basilicata,Basilicata,76001,ABRIOLA,2017,12,47094.90675,0,1241.920389,0,0-0,961,957,1,0,T,3,#N/A,2310.158814,#N/A,5312.50574,#N/A,#N/A,1571,1075734,4507756,0,0
Sud,Sicilia,Siracusa-Ragusa,88001,ACATE,2017,12,343834.4846,0,12008.15097,0,0-0,4790,199,5,1,NM,3,#N/A,6273.438924,#N/A,26714.73407,#N/A,#N/A,9574,984400,4110217,0,0
Sud,Puglia e Basilicata,Foggia-Barletta,71001,ACCADIA,2017,12,110536.6968,0,26521.52697,1,0-1,1511,650,1,0,T,3,#N/A,29482.00476,#N/A,50046.84766,#N/A,#N/A,2418,1031023,4578416,0,0
Centro,Sardegna,Sassari-Olbia,4001,ACCEGLIO,2017,12,49036.94083,0,3043.246985,0,0-0,867,1200,1,0,T,3,#N/A,6014.443185,#N/A,13574.10426,#N/A,#N/A,174,337104,4928257,0,0
Nord,Piemonte e Liguria,Cuneo-Alba,4001,ACCEGLIO,2017,12,24500.61314,0,1927.256106,0,0-0,614,1200,1,0,T,3,#N/A,6014.443185,#N/A,13574.10426,#N/A,#N/A,174,337104,4928257,0,0
